model,metric,classe,value
YOLO,F1,SACOS,0.41379310344827586
VLM,F1,SACOS,0.08823529411764706
YOLO,F1,VIDRO,0.7894736842105263
VLM,F1,VIDRO,0.6666666666666666
YOLO,F1,PLASTICO,0.8967777170944838
VLM,F1,PLASTICO,0.8399209486166008
YOLO,F1,PAPEL,0.8229954614220878
VLM,F1,PAPEL,0.323943661971831
YOLO,F1,CAIXAS,0.5609756097560976
VLM,F1,CAIXAS,0.3
YOLO,F1,METAIS,0.8629032258064516
VLM,F1,METAIS,0.7212121212121212
YOLO,F1,OUTROS,0.5078740157480315
VLM,F1,OUTROS,0.23873873873873874
YOLO,F1_macro,global,0.693541831069422
YOLO,MAE_score,global,0.13851058990760484
YOLO,Concordancia,global,0.650319829424307
YOLO,Spearman,global,0.6277424437570681
YOLO,Lat_media_ms,global,16.02379530916844
VLM,F1_macro,global,0.4541024901890865
VLM,MAE_score,global,0.17160518834399432
VLM,Concordancia,global,0.5728500355366027
VLM,Spearman,global,0.5769495670742641
VLM,Lat_media_ms,global,3529.9538663823737
YOLO,mAP50,global,0.4885669212720919
YOLO,mAP50-95,global,0.37182461652027265
YOLO,Fator_velocidade,global,220.29449317557223
